prop	clks	bids	imps	budget	spend	algo	para
64	3	614638	11130	706507	52394	const	6
64	3	614638	15785	706507	82965	const	8
64	5	614638	20922	706507	126505	const	10
64	5	614638	30335	706507	223802	const	12
64	9	614638	37758	706507	316741	const	14
64	12	614638	49115	706507	481174	const	16
64	14	614638	60480	706507	668270	const	18
64	16	472727	57030	706507	706508	const	20
64	12	227830	46755	706507	706525	const	25
64	12	191633	43328	706507	706517	const	30
64	11	151644	38989	706507	706530	const	35
64	11	129712	36720	706507	706518	const	40
64	12	96857	32242	706507	706523	const	45
64	14	83623	30108	706507	706512	const	50
64	8	57279	25399	706507	706521	const	55
64	7	50653	24173	706507	706520	const	60
64	8	42035	22267	706507	706537	const	65
64	8	38405	21488	706507	706514	const	70
64	9	27588	18721	706507	706524	const	75
64	9	25674	18078	706507	706571	const	80
64	11	22510	17003	706507	706550	const	85
64	10	20784	16343	706507	706525	const	90
64	10	20222	16189	706507	706553	const	95
64	10	19576	15928	706507	706543	const	100
64	9	18647	15571	706507	706551	const	110
64	9	18275	15403	706507	706542	const	120
64	9	17955	15281	706507	706539	const	130
64	9	17346	15005	706507	706554	const	140
64	10	16074	14362	706507	706560	const	150
64	8	14955	13711	706507	706517	const	160
64	8	14397	13410	706507	706544	const	170
64	7	14107	13234	706507	706527	const	180
64	7	13870	13073	706507	706515	const	190
64	6	13369	12809	706507	706527	const	200
64	5	13086	12606	706507	706527	const	210
64	5	12824	12418	706507	706515	const	220
64	5	12565	12231	706507	706508	const	230
64	5	12308	12048	706507	706546	const	240
64	4	12100	11895	706507	706631	const	250
64	4	11890	11745	706507	706522	const	260
64	5	11757	11644	706507	706566	const	270
64	5	11670	11581	706507	706522	const	280
64	5	11536	11486	706507	706655	const	290
64	5	11427	11400	706507	706516	const	300
16	0	614638	0	2826028	0	rand	2
16	0	614638	1	2826028	1	rand	4
16	0	614638	541	2826028	2157	rand	6
16	0	614638	3480	2826028	16462	rand	8
16	1	614638	6221	2826028	32142	rand	10
16	3	614638	9359	2826028	54063	rand	12
16	2	614638	12432	2826028	80297	rand	14
16	7	614638	15868	2826028	114057	rand	16
16	5	614638	20020	2826028	161041	rand	18
16	5	614638	24351	2826028	216081	rand	20
16	13	614638	38950	2826028	451611	rand	25
16	17	614638	51806	2826028	684011	rand	30
16	20	614638	65142	2826028	966131	rand	35
16	16	614638	77189	2826028	1243933	rand	40
16	27	614638	88209	2826028	1530112	rand	45
16	30	614638	98560	2826028	1829446	rand	50
16	39	614638	111099	2826028	2274542	rand	55
16	47	614638	123658	2826028	2751025	rand	60
16	36	530779	117416	2826028	2826029	rand	65
16	45	466188	112431	2826028	2826044	rand	70
16	42	377035	102357	2826028	2826043	rand	75
16	42	317438	95567	2826028	2826058	rand	80
16	47	274020	89888	2826028	2826074	rand	85
16	40	241387	85328	2826028	2826032	rand	90
16	44	218582	81485	2826028	2826034	rand	95
16	50	199209	77751	2826028	2826041	rand	100
16	45	171111	72491	2826028	2826073	rand	110
16	48	152123	69361	2826028	2826093	rand	120
16	42	138036	67102	2826028	2826048	rand	130
16	39	127797	65306	2826028	2826038	rand	140
16	41	117669	63609	2826028	2826047	rand	150
16	44	109682	62157	2826028	2826048	rand	160
16	36	103245	60524	2826028	2826067	rand	170
16	37	97563	59227	2826028	2826086	rand	180
16	40	93352	58231	2826028	2826076	rand	190
16	47	89341	57031	2826028	2826044	rand	200
16	39	86235	56494	2826028	2826033	rand	210
16	43	82822	55333	2826028	2826065	rand	220
16	42	80487	54578	2826028	2826067	rand	230
16	42	77499	53750	2826028	2826106	rand	240
16	39	74926	52956	2826028	2826034	rand	250
16	38	72696	52168	2826028	2826036	rand	260
16	46	70690	51374	2826028	2826039	rand	270
16	41	68963	50813	2826028	2826094	rand	280
16	38	67321	50269	2826028	2826247	rand	290
16	32	65591	49687	2826028	2826029	rand	300
16	42	64045	48906	2826028	2826060	rand	310
16	38	63234	48657	2826028	2826038	rand	320
16	43	61934	48152	2826028	2826049	rand	330
16	38	61667	48103	2826028	2826033	rand	340
16	38	59626	47225	2826028	2826122	rand	350
16	32	59039	47075	2826028	2826128	rand	360
16	32	58230	46785	2826028	2826030	rand	370
16	32	57735	46447	2826028	2826073	rand	380
16	30	57309	46388	2826028	2826147	rand	390
16	31	56635	46148	2826028	2826046	rand	400
16	32	55757	45752	2826028	2826066	rand	410
16	32	55275	45572	2826028	2826072	rand	420
16	27	54910	45573	2826028	2826075	rand	430
16	33	54413	45464	2826028	2826046	rand	440
16	38	54126	45386	2826028	2826061	rand	450
16	35	53707	45213	2826028	2826059	rand	460
16	34	53440	45167	2826028	2826077	rand	470
16	34	52666	44812	2826028	2826081	rand	480
16	33	52668	44769	2826028	2826044	rand	490
16	23	51871	44451	2826028	2826060	rand	500
16	467	614638	966	2826028	84238	lin	2
16	468	614638	1003	2826028	86382	lin	4
16	468	614638	1072	2826028	87792	lin	6
16	468	614638	1196	2826028	88942	lin	8
16	468	614638	1436	2826028	91166	lin	10
16	468	614638	1846	2826028	94437	lin	12
16	468	614638	2382	2826028	98791	lin	14
16	468	614638	3095	2826028	105251	lin	16
16	468	614638	3932	2826028	112894	lin	18
16	468	614638	4915	2826028	122472	lin	20
16	468	614638	7532	2826028	151887	lin	25
16	468	614638	10557	2826028	190201	lin	30
16	468	614638	13799	2826028	238598	lin	35
16	469	614638	17235	2826028	300096	lin	40
16	470	614638	20737	2826028	366210	lin	45
16	470	614638	24305	2826028	444340	lin	50
16	470	614638	28092	2826028	531024	lin	55
16	471	614638	31908	2826028	628971	lin	60
16	473	614638	35777	2826028	730160	lin	65
16	473	614638	39751	2826028	841999	lin	70
16	474	614638	43614	2826028	960612	lin	75
16	474	614638	47597	2826028	1085723	lin	80
16	476	614638	51638	2826028	1223842	lin	85
16	476	614638	55714	2826028	1371649	lin	90
16	476	614638	59734	2826028	1524368	lin	95
16	477	614638	63964	2826028	1687772	lin	100
16	479	614638	72367	2826028	2036667	lin	110
16	479	614638	80915	2826028	2412613	lin	120
16	482	614638	89408	2826028	2804895	lin	130
16	367	461968	82882	2826028	2826031	lin	140
16	294	365929	77596	2826028	2826029	lin	150
16	261	307033	73870	2826028	2826088	lin	160
16	239	263610	70582	2826028	2826045	lin	170
16	209	232254	68633	2826028	2826089	lin	180
16	194	208358	65620	2826028	2826040	lin	190
16	179	191279	63387	2826028	2826193	lin	200
16	169	179420	61597	2826028	2826081	lin	210
16	161	169496	60032	2826028	2826051	lin	220
16	153	160806	59007	2826028	2826038	lin	230
